# base	fc544d3b57f27f1422969fca0002cb2bff30ab17
# hardened	377c16e8de65d1b5885c4aa26e404f37b90aa2ca
# upstream	e40c72c823c6502906d4024933f0c119b5ca17cf
# target	ce3522c767bbffddaa71e7e8430e79140e4c554d
# Equality compares complete Git entries, including file mode.
# matches-base means the retained file delta is absent verbatim;
# diverged requires review. Neither is a semantic security verdict.
status	path	upstream	target
M	sys/kern/subr_module.c	matches-base	matches-base
M	sys/kern/subr_msgbuf.c	matches-base	matches-base
M	sys/kern/subr_prf.c	matches-base	matches-base
M	sys/kern/subr_syscall.c	matches-base	diverged
M	sys/kern/subr_unit.c	matches-base	matches-base
M	sys/kern/subr_witness.c	matches-base	diverged
M	sys/kern/sys_process.c	matches-base	diverged
M	sys/kern/tty.c	matches-base	diverged
M	sys/kern/tty_info.c	matches-base	matches-base
M	sys/kern/uipc_shm.c	matches-base	diverged
M	sys/kern/vfs_lookup.c	matches-base	diverged
M	sys/kern/vfs_mount.c	diverged	diverged
M	sys/kern/vfs_syscalls.c	matches-base	diverged
